archive	path	bytes	lines	sha256	packages	plot_calls	setwd	runtime_install	absolute_windows_path	absolute_macos_path	set_seed	ggsave	explicit_device	secondary_axis	significance_annotation
2024	2024/3D曲线图+多分组/3D曲线图+多分组.R	4362	90	d5232773ad52abc13b39825cd174cdb62169bbd34fa8e94f310414cabb2e8201	reshape2;scatterplot3d		1	0	1	0	0	0	0	0	0
2024	2024/3D热图/3D热图.R	2049	55	b7c7d767bd18f778400392a377de513714fb1b17d7bd81d66b2fba6ac69f551e	ComplexHeatmap;circlize;pheatmap		1	0	1	0	0	0	0	0	0
2024	2024/Circle Packing/Circle Packing.R	1752	37	abc14b59b124e1027d174d70392568c7e139cd2c953e6628125d75048a9291a7	ggplot2;packcircles	coord_equal;geom_point;geom_polygon;ggplot;scale_fill_manual;scale_size;theme_void	1	0	2	0	0	0	0	0	0
2024	2024/ECDFͼ/ECDFͼ.R	1169	31	48b12041e90f47c7544e6d399d6c29801d501c156140a463dc9b7ffcf0764d5a	ggplot2;tidyverse	ggplot;scale_color_manual;stat_ecdf;theme_bw	1	0	1	0	0	0	0	0	0
2024	2024/Venn/Venn.R	2624	69	8591d6ecb8f7edce94d34f1528608c01f1f83409f7ddc211a9407149eb0ec537	RColorBrewer;VennDiagram;ggplot2;ggprism;venn	geom_col;geom_text;ggplot;scale_fill_manual;scale_y_continuous;theme_prism	1	2	1	0	0	0	0	0	0
2024	2024/Voronoiͼ/Voronoiͼ.R	3958	73	a9fba3b0491b7976fe5f36c046d4a46adae59f4a55abb012ab7c16dc53464fa2	WeightedTreemaps		1	1	1	0	0	0	0	0	0
2024	2024/mantel test/mantel test分析.R	3082	62	74ad9a1ff2c149e1cc1d1ee2e8ba8e3f90701860603153e02dd357f2012385f0	dplyr;ggcor;ggplot2;vegan	geom_mark;geom_square;mantel_test;scale_color_manual;scale_fill_gradient2;scale_linetype_manual;scale_size_manual	1	0	1	0	0	0	0	0	0
2024	2024/mantel test分析拓展-多样式/mantel test分析拓展-多样式.R	7943	148	2e675674a906e9f590f09852efd83bcbc4b920f5209c33c6380138ee0481a562	dplyr;ggcor;ggplot2;vegan	geom_mark;geom_point;geom_square;geom_text;geom_tile;mantel_test;scale_color_gradient2n;scale_color_manual;scale_fill_gradient2;scale_fill_gradient2n;scale_linetype_manual;scale_size;scale_size_manual	1	0	1	0	0	0	0	0	0
2024	2024/mantel test拓展—多图绘制与组合/mantel test拓展—多图绘制与组合.R	6433	113	5f5078af2260c000b8522a1f7b887ff63365e10164fc893cd13de08dc24657f3	dplyr;ggcor;ggplot2;vegan	geom_mark;geom_square;mantel_test;scale_color_manual;scale_fill_gradient2;scale_linetype_manual;scale_size_manual	1	0	1	0	0	0	0	0	0
2024	2024/tree+分支颜色调整+分组注释+热图注释+柱状堆积图注释/tree+分支颜色调整+分组注释+热图注释+柱状堆积图注释.R	11447	323	31b9d6f07a8415ba3d3c5a5adab52c9284d25f0b9227a52a246eecd5c22fa31d	ape;ggnewscale;ggstar;ggtree;ggtreeExtra;vegan	geom_fruit;geom_tiplab;ggtree;scale_color_manual;scale_fill_manual	1	0	1	0	0	0	1	0	0
